"Date","Record Number","Record Type","Project Name","Status","Description","Short Notes",
"10/12/2016","2016-013196LBR","Legacy Business Registry (LBR)","4058 18TH ST","Closed - Approved","Legacy Business Registry: Castro Country Club",,
"10/12/2016","2016-013197PRL","Project Light (PRL)","1045 ALABAMA ST","Closed","Repair dry rot and reinforce (E) rear wood deck in kind. Upgrade railing to comply with code. No other work per this permit.",,
"10/12/2016","2016-013198PRL","Project Light (PRL)","3406 JUDAH ST","Closed","Replace street facing windows with wood casement and picture wood window. No other work.",,
"10/12/2016","2016-013199PRL","Project Light (PRL)","1635 INDIANA ST","Closed","TO CONSTRUCT A TRADE OFFICE AT SECOND FLOOR OF BUILDING, APPROX. 4,000 SQFT. WITH ACCESS ON THE GROUND FLOOR.  THE ENTRY WAY APPROVED TO BE REMOVED ON BPA# 200604259859 TO BE RESTORED AT WEST ELEVATION WITH 75% OPEN ROLL UP DOOR.",,
"10/12/2016","2016-013201EEC","Categorical Exemption (EEC)","257 States Street","Closed - CEQA Clearance Issued","Removal and installation of siding on an existing 4-story three unit building. No interior or facade modifications.",,
"10/12/2016","2016-013201ENV","Environmental (ENV)","257 States Street","Closed - CEQA Clearance Issued","Removal and installation of siding on an existing 4-story three unit building. No interior or facade modifications.",,
"10/12/2016","2016-013201PRJ","Project Profile (PRJ)","257 States Street","Application Accepted","Removal and installation of siding on an existing 4-story three unit building. No interior or facade modifications.",,
"10/12/2016","2016-013204PRL","Project Light (PRL)","59 Madrone Ave","Closed","Interior remodel. 1st floor: add a guest room with full bath. Add bedroom, family room, laundry room. Remodel (e) bathroom. 2nd floor: add master bathroom, remodel (e) bathroom and kitchen, and interior stair. Replace (e) windows on sides only - not visible from public ROW.",,
"10/12/2016","2016-013205ENF","Enforcement (ENF)","2885 Diamond Street","Closed - No Violation","approved permit was for no exterior work; windows have been frosted resulting in a lack of required transparency",,
"10/12/2016","2016-013206ENF","Enforcement (ENF)","2027 Market Street, #1","Closed - No Violation","approved permit was for no exterior work; windows have been frosted resulting a lack of required transparency",,
"10/12/2016","2016-013207ENF","Enforcement (ENF)","89 gladstone Drive","Closed","people at this house is always repairing vehicles in front of the property",,
"10/12/2016","2016-013208ENF","Enforcement (ENF)","650 Turk Street, Unit 303","Closed - Abated","illegal short-term rental at 650 Turk Street, Unit 303. Listing removed by host (no contact made by host with OSTR). No NOV was issued. Complaint closed.",,
"10/12/2016","2016-013209ENF","Enforcement (ENF)","89 Gladstone Dr","Under Review","people at his house is always repairing vehicles",,
"10/12/2016","2016-013210ENF","Enforcement (ENF)","643 Texas Street","Closed - No Violation","potential encroachment on property",,
"10/12/2016","2016-013211PRV","Project Review Meetings (PRV)","792 Capp Street","Closed - Informational","792 Capp Street (3637/019B); Project Review meeting to discuss demolition of an existing single-family dwelling and build a new, 3-unit residential building.  Applicant would like to review possibilities and seek guidance in the design and massing of the proposed 3-unit building.",,
"10/12/2016","2016-013212PRL","Project Light (PRL)","3887 17TH ST","Closed","Repair wood siding in-kind. No other work.",,
"10/12/2016","2016-013213PRV","Project Review Meetings (PRV)","1508-1516 Ocean Avenue","Closed - Informational","1508-1516 Ocean Avenue (3196/005); Project Review meeting to discuss demolition of an existing shed with remaining SF commercial and new condo above.  45X",,
"10/12/2016","2016-013214ENF","Enforcement (ENF)","542 Green Street","Closed - No Violation","Golden Boy Pizza are illegally operating business as fast food ""To Go Window"" 12 am to 3 am which is not allowed",,
"10/12/2016","2016-013216COA","Certificate of Appropriateness (COA)","900 NORTH POINT ST","Pending Review","Certificate of Appropriateness: Proposed project includes alteration to the existing Carillon structure. Repurposing of the existing non-historic restrooms on the south façade and replacement of the existing stair that connects West Plaza to lower Plaza.",,
"10/12/2016","2016-013216PRJ","Project Profile (PRJ)","900 NORTH POINT ST","Under Review","Certificate of Appropriateness: Proposed project includes alteration to the existing Carillon structure. Repurposing of the existing non-historic restrooms on the south façade and replacement of the existing stair that connects West Plaza to lower Plaza.",,
"10/12/2016","2016-013217ENF","Enforcement (ENF)","210 Girard Street","Closed - Informational","building built beyond scope of work, rear addition beyond scope of building permit",,
"10/12/2016","2016-013220CND","Condo-REF (CND)","186 12TH AVE","Closed - Approved","E-Condo - 2 Units Condo Conversion (DPW Lottery Bypass)",,
"10/12/2016","2016-013221PRL","Project Light (PRL)","2418 47th Ave","Closed","1st Floor: add family room, 1 bedroom, 1 full bath and half bath. 2nd floor: remodel bath ad kitchen. Add 1 full bath and new deck at rear. Comply with violation 201328571 and 201533111.",,
"10/12/2016","2016-013222ENV","Environmental (ENV)","SFPUC - Water Main and Sewer Replacment Project on Eureka St, Corwin St, Grand View Ave, & Mangels Ave","Closed - CEQA Clearance Issued","The proposed project involves the conduction of water-distribution-system replacement and upgrades along the stretch of Eureka Street between Market Street and 23rd Street, as well as collection-system sewer replacement and upgrades along Eureka and Corwin Streets, and Grand View and Mangels Avenues. The proposed Project would include a total of approximately 6,500 linear feet (1.23 miles) of water main installation and rehabilitation as well as a total of approximately 5,341 linear feet (1.01 miles) of replacement sewer installation.",,
"10/12/2016","2016-013222ETM","Environmental Time and Materials (ETM)","SFPUC - Water Main and Sewer Replacment Project on Eureka St, Corwin St, Grand View Ave, & Mangels Ave","Closed - CEQA Clearance Issued","The proposed project involves the conduction of water-distribution-system replacement and upgrades along the stretch of Eureka Street between Market Street and 23rd Street, as well as collection-system sewer replacement and upgrades along Eureka and Corwin Streets, and Grand View and Mangels Avenues. The proposed Project would include a total of approximately 6,500 linear feet (1.23 miles) of water main installation and rehabilitation as well as a total of approximately 5,341 linear feet (1.01 miles) of replacement sewer installation.",,
"10/12/2016","2016-013224PRJ","Project Profile (PRJ)","534 BROADWAY","Closed","Variance from the rear yard requirement, in order to replace, reconfigure, and expand the existing rear deck and stairs for improved access to the street for the residents. The project also consists of window replacements along the Romolo façade and the creation of a new opening for a roll-up door for access to the trash room.",,
"10/12/2016","2016-013224VAR","Variance (VAR)","534 BROADWAY","Closed - Approved","Variance from the rear yard requirement, in order to replace, reconfigure, and expand the existing rear deck and stairs for improved access to the street for the residents.",,
"10/12/2016","2016-013226PRL","Project Light (PRL)","546 ELIZABETH ST","Closed","Replace street facing windows with double hung wood windows with ogee lugs. No other work.",,
"10/12/2016","2016-013227ENF","Enforcement (ENF)","117-123 Downey Street","Closed - No Violation","unpermitted construction",,
"10/12/2016","2016-013228PRL","Project Light (PRL)","580 Geary Street","Closed","Two (2) new indirectly illuminated signs, 2 ft. x 2 ft. Approval is for signage only.",,
"10/12/2016","2016-013229PRL","Project Light (PRL)","Souvla","Closed","CTI for new operator of non-formula retail restaurant (existing). Transparency retained.",,
"10/12/2016","2016-013230PRL","Project Light (PRL)","580 Geary","Closed","Install one (1) illuminated marquee sign over the entrance.",,
"10/12/2016","2016-013232ENF","Enforcement (ENF)","195 Commonwealth Avenue","Closed - Abated","lack of storefront transparency",,
"10/12/2016","2016-013233LBR","Legacy Business Registry (LBR)","956 COLE ST","Closed - Approved","Legacy Business Registry: Cole Hardware",,
"10/12/2016","2016-013235ENV","Environmental (ENV)","SFPUC - Foerster St Auxiliary and Mangels/Hearst/Detroit Sewer Replacement Project","Closed - CEQA Clearance Issued","The proposed project involves the installation of new vitrified clay pipelines (VCP) and the replacement of existing iron stone pipelines (ISP) along portions of Foerster Street, Mangels Avenue, Avenue, Hearst Avenue, and Detroit Street. Project activities would include installation of new and replacement pipelines and replacement of associated manholes. Short connecting sewer service lines would be inspected and may be replaced in kind. A total of approximately 3,162 linear feet (approximately 0.6 mile) of pipeline would be constructed or replaced.",,
"10/12/2016","2016-013235ETM","Environmental Time and Materials (ETM)","SFPUC - Foerster St Auxiliary and Mangels/Hearst/Detroit Sewer Replacement Project","Closed - CEQA Clearance Issued","The proposed project involves the installation of new vitrified clay pipelines (VCP) and the replacement of existing iron stone pipelines (ISP) along portions of Foerster Street, Mangels Avenue, Avenue, Hearst Avenue, and Detroit Street. Project activities would include installation of new and replacement pipelines and replacement of associated manholes. Short connecting sewer service lines would be inspected and may be replaced in kind. A total of approximately 3,162 linear feet (approximately 0.6 mile) of pipeline would be constructed or replaced.",,
"10/12/2016","2016-013237PRL","Project Light (PRL)","447 Minna","Closed","Fire damage restoration including replacement of damaged roof framing and sheathing, repair of damaged masonry façade at roof level, and installation of new roofing. To comply with the notice of violation #201623921. No change of use under this permit. Per Planning Code Sec. 188.",,
"10/12/2016","2016-013238PRJ","Project Profile (PRJ)","2574 31ST AVE","Under Review","VERTICAL & HORIZONTAL EXTENSION TO AN (E) 2 STORIES SFD TO A 3 STORIES SFD. (E) 1 BEDROOM & 1 BATH. NEW 5 BEDROOMS & 4.5 BATH. IN RESPONSE TO ALL OUTSTANDING NOVS. NOV# 201470141, NOV# 201476061, NOV# 200724921, NOV# 200562245 & NOV# 201041499.",,
"10/12/2016","2016-013239PRL","Project Light (PRL)","27 CLAYTON ST","Closed","Change windows at ground floor rear to doors and build deck at grade.",,
"10/12/2016","2016-013240PRL","Project Light (PRL)","801 Fillmore St.","Closed","Tear off (e) roof and apply 3 ply Modified Bitumen one ply torch down roof system. No change to roof form. Ordinary maintenance and repair, no CofA required per Section 1005(e)3.",,
"10/12/2016","2016-013241OTH","Other","BGCA Neon Art Installation","Consultation","Bill Graham Civic Auditorium, Joseph Kossuth designed neon art installation on the southern elevation. The project is managed by the City Arts Commission and financed by fees from the Emerald Fund development group. This file is to track time spent on various types of preliminary work done while coordinating with the Arts Commission as they build toward their application submission.",,
"10/12/2016","2016-013242PRL","Project Light (PRL)","87 PINEHURST WAY","Closed","demo stucco, repair dryrot, restucco and paint.No BBNS or planning code complaints.",,
"10/12/2016","2016-013243ENF","Enforcement (ENF)","535 39th Avenue","Closed - Abated","Illegal short-term rental https://www.airbnb.com/rooms/13084734 & https://www.airbnb.com/rooms/11549175. Host-owner removed listing and provided proof of cancellation of future reservations. Listing changed to 30 day minimum stay. Violation abated (resolved).",,
"10/12/2016","2016-013244ENF","Enforcement (ENF)","537 37th Avenue","Under Review","illegal short-term rental complaint. No listing or activity noted by OSTR staff as of January 2017. Courtesy informational letter mailed to property owners.",,
"10/12/2016","2016-013245PRL","Project Light (PRL)","575 HAIGHT ST","Closed","n/a in this case the project does not demo more than 75 percent of the interior walls nor add any new square footage - no changes to the front façade - no loss of square footage - no loss to dwelling units authorized or not -Not a rooms down issueNo BBNS or planning code complaints",,
"10/12/2016","2016-013246PRL","Project Light (PRL)","464 2nd Ave","Closed","Replace rusted flashing at front facade, repair rotted siding and trim underneath, less than 50% repair. No change to appearance.",,
"10/12/2016","2016-016397GEN","Generic (GEN)","123 Yukon - 1981.533","Open","Record Request",,
"10/11/2016","2012.1139CUA-02","Conditional Use Authorization (CUA)","992 PERALTA AVENUE","Under Review","Conditional Use Authorization request for the proposed project to demolish and existing 10,675 square foot industrial building and construct a four-story, 49 unit residential building with 49 off-street parking spaces and 56 bicycle spaces.","Construct 5 story, 50 unit residential condominium building with 50 of",
"10/11/2016","2016-008105CUA","Conditional Use Authorization (CUA)","880 PENNSYLVANIA AVE","Closed - Approved","Change of use from Public Storage to Private Parking.",,
"10/11/2016","2016-010142VAR","Variance (VAR)","4801 03rd Street","Closed - Approved","Variance request to the storefront transparency requirements to permit the demolition of an existing single story commercial building. Construction of a new single story restaurant.",,
"10/11/2016","2016-010806COA","Certificate of Appropriateness (COA)","2 New Montgomery St - AT&T Mobility Macro WTS Facility Modification","Approved","ATT MODIFICATION: R&R 4(E) ANTENNAS W/4NEW ANTENNAS, R&R 2(E) RRUS; INSTALL 2NEW RRUS; INSTALL OTHER SMALL EQUIPMAHER NA",,
"10/11/2016","2016-011271COA","Certificate of Appropriateness (COA)","730 MONTGOMERY ST","Closed - Approved","NO CHANGE TO (E) LIGHTING & HVAC, INSTALL POWER ASSIST DOOR OPERATOR. NO CHANGE OF USE. N/A MAHER ORDINANCE",,
"10/11/2016","2016-011384COA","Certificate of Appropriateness (COA)","22 LIBERTY ST","Closed - Approved","Administrative Certificate of Appropriateness: New Front Doors, New roof hatch, Stairs and deck.",,
"10/11/2016","2016-013040PRL","Project Light (PRL)","1100 OCEAN AVE","Closed","A1 copy change to 1 existing blade under canopy sign.",,
"10/11/2016","2016-013041PRL","Project Light (PRL)","235 01ST ST","Closed","Revision to Permit 201512175329 1 sign only not 2 - Per Building Inspection comments signs C and D.",,
"10/11/2016","2016-013042PRL","Project Light (PRL)","53 CLARENDON AVE","Closed","Replace 10 sets of doors and 5 sets of window sash within existing openings, wood sash.",,
"10/11/2016","2016-013043PRL","Project Light (PRL)","780 VALENCIA ST","Closed","Change of copy of artwork posted on garage door to image of creepy mannequin.",,
"10/11/2016","2016-013044PRL","Project Light (PRL)","133 Westgate Drive","Closed","Replace 10 windows with 10 aluminum clad wood windows with divided lites. Three windows are located on the front façade.",,
"10/11/2016","2016-013045PRL","Project Light (PRL)","8 16TH AVE","Closed","rebuild rear stair and remodel garage level: one bedroom, full bath and gym.",,
"10/11/2016","2016-013046PRL","Project Light (PRL)","1946 Quesada Avenue","Closed","Fire damage repair at first and second floors. New bedroom at second floor. Interior alterations. No expansion of building envelope. Ground floor unit legalization under separate permit, BPA 201608256030.",,
"10/11/2016","2016-013047ENF","Enforcement (ENF)","957 Mission Street #416","Closed - No Violation","Apartment #416 - violation of Section 204.1 - business activity occurring inside the apartment with tenant not always present",,
"10/11/2016","2016-013048ENF","Enforcement (ENF)","957 Mission Street, Apartment 509-510","Closed - No Violation","Apartment #509-510 - violation of Section 204.1 - the crime syndicate has also had access to apartment 509-510.  A Karaoke and prostitution business was previously operated in this apartment with sex noise complaints",,
"10/11/2016","2016-013049PRL","Project Light (PRL)","38 FREELON ST","Closed","Demise space into two spaces; rebuild stairs to mezzanines and rebuild rest rooms. NO CHANGE TO EXISTING AUTOMOTIVE USE.",,
"10/11/2016","2016-013050ENF","Enforcement (ENF)","957 Mission Street, Apartment 100","Closed - No Violation","Apartment #100 - violation of Section 204.1 - Room 100 on the entrance floor for possible inappropriate use - it was used as a command center by the crime syndicate in 2015",,
"10/11/2016","2016-013051PRL","Project Light (PRL)","1326 Church Street","Closed","Replace one window with fiberglass window.",,
"10/11/2016","2016-013052PRL","Project Light (PRL)","901 UNION ST","Closed","Replace 15 windows at front and side. Unit 903 only. Wood for wood. No change in size, location, or operations.",,
"10/11/2016","2016-013053PRL","Project Light (PRL)","58 BRONTE ST","Closed","Legalize two rooms and full bath in attic; remodel kitchen and bath.",,
"10/11/2016","2016-013055ENF","Enforcement (ENF)","322-324 18th Avenue","Under Review","""It appears to be a whole home converted into an Airbnb hotel."" Notice of violation issued. Listing removed. Penalty fee outstanding.",,
"10/11/2016","2016-013058PRL","Project Light (PRL)","826 ALVARADO ST","Closed","Add new 2nd dwelling unit at ground floor with separate entry; convert portion of ground floor storage area to new living area with bedroom and bathroom.",,
"10/11/2016","2016-013059PRL","Project Light (PRL)","164 COOK ST","Closed","Relocate interior stairs, remodel kitchen, relocate and remodel existing bathrooms, bedroom, and family room, add new bath, and replace 2 windows at the rear (alum cladded wood).",,
"10/11/2016","2016-013064PRJ","Project Profile (PRJ)","211 Nevada Street","Closed","New dormer.",,
"10/11/2016","2016-013065MIS","Misc. Permits-REF (MIS)","422 Geary Street -","Closed - Approved","Recommend approval of Alcoholic Beverage License Type 41 as part of a Bona Fide Eating Place (d.b.a. Tokyo Katana-Ya), principally permitted per Planning Code Section 210.2",,
"10/11/2016","2016-013066MIS","Misc. Permits-REF (MIS)","655 Ellis Street - Soul Groove","Closed - Approved","ABC - Type 41",,
"10/11/2016","2016-013067PRJ","Project Profile (PRJ)","19 Baker Street","Application Accepted","19 Baker Street",,
"10/11/2016","2016-013068MIS","Misc. Permits-REF (MIS)","Pier 39 Space 201 - Eagle Cafe","Closed - Informational","ABC - Type 47",,
"10/11/2016","2016-013069PRJ","Project Profile (PRJ)","120-122 Fairmount","Closed","ENLARGE DECKS ON FIRST AND SECOND FLOOR WITH CONNECTING STAIRS TO YARD.",,
"10/11/2016","2016-013070ENF","Enforcement (ENF)","501 Corbett Avenue","Closed - No Violation","illegal short-term rental",,
"10/11/2016","2016-013071PRJ","Project Profile (PRJ)","1441 Stevenson Street","Closed","UPGRADE FIRE EXITS, DISABLE ACCESS. ADD TRUCK DOORS. ENCLOSE LOW ROOF AREA. ** MAHER: N/A",,
"10/11/2016","2016-013072PRL","Project Light (PRL)","2944 ULLOA ST","Closed","TO CONSTRUCT TWO BEDROOMS, TWO FULL BATHROOMS, ONE LIVING ROOM/LAUNDRY ROOM AT GROUND FLOOR.  ADD ONE BATHROOM AND REMODEL KITCHEN AND BATH ON SECOND FLOOR.",,
"10/11/2016","2016-013073PRL","Project Light (PRL)","1708 LAGUNA ST","Closed","replace 10 retro fit windows / like for like in size - existing material is vinyl and new material will be paintable wood composite - ufactor .32 - SHGC .25No BBNS or planning code complaints.",,
"10/11/2016","2016-013074ENF","Enforcement (ENF)","2815 Diamond Street","Under Review","live on top of Canyon Market, receiving deliveries from 5 am to 9 pm and 18 wheeler trucks as they are constantly blocking driveways and not have a loading zone for big trucks",,
"10/11/2016","2016-013075PRJ","Project Profile (PRJ)","1438 Page Street","Closed","UNIT LEGALIZATION PER ORDINANCE NO. 43-14. LEGALIZE (E) UNIT #9 ON 1ST FLR WITH ONE BDRM, LIVING ROOM, KITCHEN, TWO CLOSETS & TWO FULL BATH.",,
"10/11/2016","2016-013076ENF","Enforcement (ENF)","1019 Portola Drive","Closed - Abated","front setback area paved over",,
"10/11/2016","2016-013077PRJ","Project Profile (PRJ)","349 Mangels","Closed","NEW ACCESSORY UNIT AT GROUND FLOOR. NO WORK ON SECOND FLOOR. PROVIDE NEW LIVING ROOM/KITCHEN, NEW BEDROOM AND NEW BATHROOM.",,
"10/11/2016","2016-013078PRJ","Project Profile (PRJ)","342 Connecticut Street","Closed",,,
"10/11/2016","2016-013079PRL","Project Light (PRL)","201 CHURCH ST","Closed","ALTERATIONS TO NON RESIDENTIAL SECTION OF THE 2ND FLOOR, INCLUDING REMOVAL OF THE EXISTING MEZZANINE AND INSTALL NEW FRAMING (BEAMS AND COLUMNS) TO SUPPORT FLOOR STRUCTURE TO REMAIN.",,
"10/11/2016","2016-013080PRL","Project Light (PRL)","1005 SANSOME ST","Closed","Tenant improvement on the ground floor including removal of non-structural, interior partitions, doors, glazing, ceiling, light fixtures, millwork and finishes.  No change in use or exterior.",,
"10/11/2016","2016-013082PRJ","Project Profile (PRJ)","1966 35th Ave","Closed","FIRE DAMAGE OCCURRED @ THE REAR OF 2 STORY RESIDENCE. THE FIRE WAS COUNTERED W/N THE RESIDENCE, NO APPARENT DAMAGE TO ADJ UNITS. ALL REPAIRS SHALL BE USING A LIKE-FOR-LIKE APPROACH. REMOVE G/F KITCHEN;REMODEL UPPER FLOOR (E) KITCHEN WITH 4 FT. OPENING. TO COMPLY W/VIOL#201619851",,
"10/11/2016","2016-013084PRJ","Project Profile (PRJ)","2390 34th Ave","Closed","PER UNIT LEGALIZATION ORDINANCE 43-14, LEGALIZE TWO BEDROOMS, TWO BATHROOMS, ONE FAMILY FROOM, ONE KITCHEN ON 1ST FLOOR.",,
"10/11/2016","2016-013085PRJ","Project Profile (PRJ)","1439 Egbert Ave","Closed","EXPANSION OF (E) BREWERY @ TENANT SUITE A TO B EXPANDED TO 1439-B TO EXPAND STORAGE & INDUSTRIAL USE. MECHANICAL, ELECTRICA, PLUMBING & SPRINKLER DEFERRED. New accessory tasting area not part of this permit (in a subsequent permit).",,
"10/11/2016","2016-013087PRJ","Project Profile (PRJ)","918 Grant Ave","Closed","T.I OF AN (E) MIXED-USED STRUCTURE WITH NO CHANGE TO (E) AREA & USE. ADD ONE NEW DWELLING UNIT WITH (E) BUILDING ENVELOPE. REPLACE ALL WINDOWS IN KIND EXCEPT GROUND FLOOR. PROVIDE LIMITED BARRIER FREE IMPROVEMENT, RENOVATE ALL RESTROOMS, CORRECT MEANS OF EGRESS.",,
"10/11/2016","2016-013088PRJ","Project Profile (PRJ)","10 4th Street","Under Review","TRADER JOES SIGN - ELECTRIC, WALL, SINGLE FACE SIGN. MAHER NA",,
"10/11/2016","2016-013089PRJ","Project Profile (PRJ)","2039 43RD AVE","Application Accepted","COMPLY WITH NOV# 201626091. LEGALIZE (E) KITCHEN & MAKE IT AS A SECONDARY UNIT @ GROUND FL PER LEGALIZATION ORDIDANCE 43-14.",,
"10/11/2016","2016-013090PRL","Project Light (PRL)","151 CAINE AVE","Closed","Replace with wood or stucco siding depending on original siding material. If wood siding is under the aluminum siding wood siding is required. No other work.",,
"10/11/2016","2016-013092PRJ","Project Profile (PRJ)","3320 OCTAVIA ST","Closed","CONVERT (E) GARAGE & STORAGE TO 4 (N) DWELLING UNITS @ 1ST FLR WITHIN (E) ENVELOPE. (N) KITCHENS, BATHS, DOORS. (N) WINDOWS VISIBLE FROM STREET. FIRE ALARM & SPRINKLER UNDER SEPERATE PERMIT.",,
"10/11/2016","2016-013093PRL","Project Light (PRL)","1000 VICENTE ST","Closed","Interior renovation (plumbing, mech, elec) and replacement of (14) windows (alum. clad wood windows).",,
"10/11/2016","2016-013094PRJ","Project Profile (PRJ)","47 06TH ST","Closed","CHANGE OF USE FROM RETAIL TO CAFE. NO WORK ON THIS PERMIT. ** MAHER: N/A **",,
"10/11/2016","2016-013095PRL","Project Light (PRL)","1655 MISSION ST","Closed","the project proposes a new awning above the existing dwelling - please note it dully meets section 136.1 of the planning code - 11 feet wide projecting no more than 4 feet - max height is 2 feet.No BBNs or planning code complaint.",,
"10/11/2016","2016-013096PRL","Project Light (PRL)","865 MARKET ST","Closed","Retail sales and services permitted per PC Section 210.2 and accessory storage permitted per PC Section 204.3. No other work.",,
"10/11/2016","2016-013097PRJ","Project Profile (PRJ)","40 DORANTES AVE","Application Accepted","ERECT 4-STORY, TYPE V, SINGLE FAMILY DWELLING BUILDING.",,
"10/11/2016","2016-013099PRJ","Project Profile (PRJ)","3009 SACRAMENTO ST","Closed","REAR BUILDING. UNIT LEGALIZATION ORD 43-14. EXISTED PRIOR TO 1950. PREVIOUSLY CONVERTED TO ILLEGAL STUDIO UNIT.",,
"10/11/2016","2016-013100PRL","Project Light (PRL)","532 NATOMA ST","Closed","Revision to permit #: 2015.0309.0286 to add (1) flush-mounted skylight, relocate bedroom wall, half-bath to full-bath, fire-rated perimeter wall per NOV 201637443.",,
"10/11/2016","2016-013101PRL","Project Light (PRL)","52 DELLBROOK AVE","Closed","Replace street visible windows with wood aluminum clad casement windows. No other work.",,
"10/11/2016","2016-013102PRL","Project Light (PRL)","1961 48TH AVE","Closed","restucco facade",,
"10/11/2016","2016-013103PRJ","Project Profile (PRJ)","487 DOLORES ST","Under Review","TO ADD NEW TWO UNITS IN BASEMENT FLOOR, ADDITION OF DWELLING UNITS PER ORDINANCE NO 30-15. SOFT STORY PA #201607051550",,
"10/11/2016","2016-013105PRL","Project Light (PRL)","3224 22ND ST","Closed","Emergency excavation and new shoring due to demolition issues next door -as shown on plans - new square footage being added per this application - please note this is not counted as gross floor areas as the new basement rooms are not connected in any way to the floors above -No BBNs or planning code complaints in this case.",,
"10/11/2016","2016-013106PRL","Project Light (PRL)","635 15TH AVE","Closed","Replace existing stucco in-kind and replace existing wood picture window in kind on front facade. No other work.",,
"10/11/2016","2016-013107PRJ","Project Profile (PRJ)","1480 Waller St - Add 2 units: ADU (1) and Unit Legalization (1)","Closed","Approved 3/8/2017 per NSR-2017K418036 and NSR-2017K418037 recorded 3/7/2017. Convert an eight-family dwelling into a ten-family dwelling. Legalize a ninth dwelling unit (northernmost basement level Unit 9) per Planning Code Section 207.3 (Ord. 43-14) under BPA-2016.0916.8040. Add one accessory dwelling unit (ADU), under BPA-2016.0916.8044, as a tenth unit at the southernmost basement level Unit 10, within the existing building envelope, per Ord. 162-16 by converting storage area within an existing four-story-over-basement residential dwelling. Add new front window double-hung and replace two windows at basement under BPA-2016.0916.8044. Seismic upgrade under separate permit BPA-2016.0817.5269.",,
"10/11/2016","2016-013109MIS","Misc. Permits-REF (MIS)","1097 Howard Street - Billie Blanche LLC","Approved","Recommend approval of Type 09 and 17 ABC license for beer/wine importer and wholesaler respectively.  Permitted as part of wholesale sales use, a nonretail use which provides goods/commodities for resale/business use, allowed per planning code section 840.78 and 890.54(b).",,
"10/11/2016","2016-013110PRJ","Project Profile (PRJ)","769 PAGE ST","Application Accepted","ADD UNIT PER ORD 30-15. CONVERT (E) STORAGE INTO (N) 525 SQ FT UNIT WITH 1 KITCHEN, 1 BATH, 1 BEDROOM, 1 LIVING ROOM.",,
"10/11/2016","2016-013111MIS","Misc. Permits-REF (MIS)","1581 Webster Street, Suite 145 - Beque SF","Closed - Approved","ABC - Type 41 permitted as a continuation of existing ground floor Restaurant use, principally permitted pursuant to Planning Code Sections 748.44, 249.31. Non-Formula Retail.",,
"10/11/2016","2016-013112MIS","Misc. Permits-REF (MIS)","3463 - 16th Street - Sofia Cafe","Closed - Approved","Health - RestaurantApproved.  This is a continuation of existing restaurant.  Change of ownership only and no other changes taking place.  This was approved per past CU 2014.0668C and LCUs on the property.  Past referrals for this use were issued as well.",,
"10/11/2016","2016-013115MIS","Misc. Permits-REF (MIS)","2922 Diamond Street - One Waan Thai","Closed - Approved","Recommend approval. DPH referral for restaurant dba One Waan Thai (change of ownership). Continuation of existing restaurant use permitted in Glen Park NCT per §742.44 and 790.91. Business shall operate with the specified conditions in Section 202.2(a).",,
"10/11/2016","2016-013116EEC","Categorical Exemption (EEC)","150 Franklin Street","Open","Replacement of an elevator shaft in a 4-story 33 dwelling unit building.",,
"10/11/2016","2016-013116ENV","Environmental (ENV)","150 Franklin Street","Under Review","Replacement of an elevator shaft in a four-story building containing 33 dwelling units.",,
"10/11/2016","2016-013116PRJ","Project Profile (PRJ)","150 Franklin Street","Open","Replacement of an elevator shaft in a 4-story 33 dwelling unit building.",,
"10/11/2016","2016-013119PRL","Project Light (PRL)","2289 03RD ST","Closed","TI for new restaurant operator (Non-formula retail) in existing restaurant space.",,
"10/11/2016","2016-013120MIS","Misc. Permits-REF (MIS)","580 Folsom Street - Modus, Inc. for AT&T","Closed - Approved","Wireless - installation and operation of wireless equipment and antennas for AT&T Mobility on Existing SFPUC Steel Light Pole.",,
"10/11/2016","2016-013120PTA","Permit to Alter Major/Minor (PTA)","580 Folsom Street - Modus, Inc. for AT&T","Withdrawn","Wireless - installation and operation of wireless equipment and antennas for AT&T Mobility on Existing SFPUC Steel Light Pole.",,
"10/11/2016","2016-013121MIS","Misc. Permits-REF (MIS)","60 Broadway - Modus, Inc for AT&T Mobility","Closed - Approved","Wireless - Installation and operation of wireless equipment and antennas for AT&T Mobility on Existing SFPUC Steel Light Pole.",,
"10/11/2016","2016-013122PRL","Project Light (PRL)","1493 NEWCOMB AVE","Closed","Replace all street facing windows in-kind with double hung wood windows with ogee lugs. No other work.",,
"10/11/2016","2016-013123MIS","Misc. Permits-REF (MIS)","301 Sacramento Street - Modus, Inc. for AT&T Mobility","Pending Review","Wireless - Installation and operation of wireless equipment and antennas for AT&T Mobility on Existing SFPUC Steel Light Pole.",,
"10/11/2016","2016-013124EEC","Categorical Exemption (EEC)","963 Hampshire Street","Open","Vertical addition to an existing 2-story single family home. Interior renovations and additions. Facade modifications.",,
"10/11/2016","2016-013124ENV","Environmental (ENV)","963 Hampshire Street","Under Review","Vertical addition to an existing 2-story single family home. Interior renovations and additions. Facade modifications.",,
"10/11/2016","2016-013124PRJ","Project Profile (PRJ)","963 Hampshire Street","Open","Vertical addition to an existing 2-story single family home. Interior renovations and additions. Facade modifications.",,
