"Date","Record Number","Record Type","Project Name","Status","Description","Short Notes",
"06/12/2017","2017-007342ENF","Enforcement (ENF)","522 46TH AVE","Under Review","Front yard paving",,
"06/12/2017","2017-007343PRL","Project Light (PRL)","750 Vienna Street","Closed","Remove sunroom and rear stair, relocate bedroom and living room, remodel kitchen, relocate bathroom and add (n) bathroom - all second floor; add new deck on 2nd floor; expand ground floor foyer, add family room, bedroom and full bath on 1st floor (checked for rooms down); removal of door on front façade and expansion of garage door - 8.5' to 9'.",,
"06/12/2017","2017-007344PRJ","Project Profile (PRJ)","350 RHODE ISLAND ST","Under Review","ADMINISTRATIVE PERMIT TO DOCUMENT & MEMORIALIZE CONDITIONS OF APPROVAL ESTABLISHING & CONFIRMING OFFICE DESIGNATION OF 250,000 GSF UNDER PLANNING COMMISSION MOTION NO# 14988. NO CONSTRUCTION UNDER THIS PERMIT. ** MAHER: N/A **",,
"06/12/2017","2017-007345DRM","Discretionary Review - Mandatory (DRM)","865 MARKET ST","Accepted","Medical Cannabis Dispensary application to establish a retail storefront d.b.a. Defonce Chocolatier.",,
"06/12/2017","2017-007345PRJ","Project Profile (PRJ)","865 MARKET ST","Application Accepted","Medical Cannabis Dispensary application to establish a retail storefront d.b.a. Defonce Chocolatier.",,
"06/12/2017","2017-007347PRL","Project Light (PRL)","4225 23rd Street","Closed","Add window at ground level on front façade.",,
"06/12/2017","2017-007409GEN","Generic (GEN)","350 2nd St","Pending Review","Public Record Request - 350 2nd St",,
"06/12/2017","2017-007413GEN","Generic (GEN)","3816 22nd St","Pending Review","Public Record Request - 3816 22nd St",,
"06/09/2017","2016-011929DRP","Discretionary Review - Public Initiated (DRP)","575 BELVEDERE ST","Pending Review","Discretionary Review Application 2016.08.26.6097.  for BPA HORIZONTAL ADDITION.ADD 991 SQ FT OF INTERIOR SPACE & DECK TO BACK OF (E)RESIDENCE.NEW LAYOUT &FINISHES THROUGHOUT.RESTORE GARAGE TO LOWER LEVEL WITH NEW DRIVEWAY OUT INTO SIDEWALK. NEW FRONT STAIRS & LANDING.",,
"06/09/2017","2016-014360ETR","Transportation Study (ETR)","433 Mason St","Open","The proposal is to demolish a four-story concrete parking garage built in 1959 and construct a tourist hotel with retail space on Mason Street that will contain approximately 211 hotel rooms. There will be an eight-level portion (80 feet tall) on Mason Street and a thirteen-level portion (130 feet tall) at the western portion of the site perpendicular to Derby Street. The hotel will have its main entrance on Mason Street and will have a service entrance on Derby Street.The PPA was submitted on 11/1/16 and the 90 day deadline is 1/30/17.",,
"06/09/2017","2017-007242PRL","Project Light (PRL)","12 MANZANITA AVE","Closed","Replace 2 garage doors and openers – No structural changes sectional roll up doors.  Within the existing openingsNo BBNs or planning code complaints.",,
"06/09/2017","2017-007243PRL","Project Light (PRL)","2142 Filmore Street","Closed","New retail sales and services operator (Frame) within existing retail space. This location would be the second stand-alone retail location world wide. The retail operator is not formula retail and the use is allowed per Planning Code Section 718.40. Replace window glass, but no change to frames. No exterior or structural work. New signage will be proposed under a separate permit.",,
"06/09/2017","2017-007244PRL","Project Light (PRL)","337 Capistrano","Closed","Renovation of an existing kitchen and replacement and expansion of an existing deck with the addition of stairs to grade in the rear yard. All work within the rear yard setback and max 10 foot height.",,
"06/09/2017","2017-007246PRL","Project Light (PRL)","494 Seacliff Ave","Closed","Replace non-historic driveway gate with push button operated gate. Remove existing posts. Actuator and push button controls to be ""Door King 1812-081"" with fireman key entry (provided by SFFD).",,
"06/09/2017","2017-007247PRV","Project Review Meetings (PRV)","24 Chattanooga Street","Under Review","24 Chattanooga Street (3619/063); Project Review meeting to discuss a horizontal and vertical addition that will expand the 1,774 sf single family house to 4,306 sf single family house to accommodate the family.",,
"06/09/2017","2017-007248PRL","Project Light (PRL)","9 REDFIELD ALY","Closed","Existing rear yard roof deck previously approved per Variance no 1995.109V and permit no. 9500661S – replace existing decking within existing square footage and replace existing railing as shown on plans – Please note no new fire walls or privacy screening. Railings are meeting section 139 (bird friendly) – please note the approval of this project does not trigger any new review by the zoning administrator in this case.No BBNs or planning code complaints.",,
"06/09/2017","2017-007249PRL","Project Light (PRL)","200 Yerba Buena Ave","Closed","Replace four street-facing windows with aluminum clad wood windows. Same size, location. New windows to match existing in size, operation, configuration, with divided lites.",,
"06/09/2017","2017-007250PRL","Project Light (PRL)","1942 18th Ave","Closed","(1) Relocate kitchen, convert (E) kitchen space to new bedroom. Add one full bathroom at second floor. (2) Construct two bedrooms, one full bathroom, one storage room and one laundry at ground floor.",,
"06/09/2017","2017-007251PRL","Project Light (PRL)","15 Navajo Ave","Closed","(1) Construct two bedrooms, two full bathrooms, study room and laundry area at ground floor. (2) Relocate (E) kitchen and convert that space to bedroom at second floor.",,
"06/09/2017","2017-007252PRL","Project Light (PRL)","1031 Rivera Street","Closed","New habitable living space and full bathroom on ground floor of existing single-family home with limited spatial connection and an indirect connection to the street. Fill in space under second story room that is supported by posts as allowed per Planning Code Section 311(b). Filled-in space would be on first floor and approximately 9.5 feet tall. Posts for foundation for new space not to exceed 12 inches below existing grade. New sliding glass door on rear façade and new windows on side façade.",,
"06/09/2017","2017-007253PRV","Project Review Meetings (PRV)","335 Franconia Street","Under Review","335 Franconia Street (5556/048); Project Review meeting to discuss construction of a new home on a vacant lot.  Review of Bernal Planning and East Bernal Design REview requirements (setback and height calculations).  Applicant would like an RDT member attend the meeting.",,
"06/09/2017","2017-007254PRL","Project Light (PRL)","3138 Anza Street","Closed","(1) Replace five windows with new windows, not visible from street. (2) Replace one front window with wood clad window in-kind.",,
"06/09/2017","2017-007255PRL","Project Light (PRL)","20 Meadowbrook Drive","Closed","New habitable rooms, full bathroom, and wet bar on ground floor of existing single-family home with indirect access to the street and an open visual connection between floor. Relocation of existing stairs with an open railing. New windows and window openings on rear façade. No other work.",,
"06/09/2017","2017-007257PRL","Project Light (PRL)","476 5th St","Closed","Gen ad sign repair",,
"06/09/2017","2017-007258PRV","Project Review Meetings (PRV)","3001 Steiner Street","Under Review","3001 Steiner Street (0535/004B); Department Facilitated Pre Application Meeting to discuss a conditional use for formula retail.",,
"06/09/2017","2017-007260PRL","Project Light (PRL)","3172 24TH ST","Closed","Change of use from retail space (former jewelry) to barbershop.",,
"06/09/2017","2017-007261PRL","Project Light (PRL)","1601 08TH AVE","Closed","Replace existing damaged 36"" planter boxes with new 48"" fence with wrought iron interval, as per drawing, per section 181",,
"06/09/2017","2017-007262PRL","Project Light (PRL)","323 NAPLES ST","Closed","rooms down (full bathroom) - limited visual and indirect access",,
"06/09/2017","2017-007268PRJ","Project Profile (PRJ)","175 MANGELS AVE","Application Accepted","REDUCTION IN SCOPE TO PREVIOUSLY APPROVED & ISSUED PA 2010-0406-9697 REMOVE SPIRAL STAIRCASE FROM EXTERIOR AND REDUCED SIZE OF REAR ADDITION",,
"06/09/2017","2017-007269PRJ","Project Profile (PRJ)","319 CAPP ST","Application Accepted","ADD (2) DWELLING UNITS (UNIT #7 & #8) ON 1ST FLR. UNIT #7 - ONE OFFICE, LIVING ROOM, KITCHEN, ONE FULL BATHROOM & ONE BDRM. UNIT #8 - ONE OFFICE, LIVING ROOM, KITCHEN, ONE FULL BATHROOM & ONE BDRM PER PLANS.",,
"06/09/2017","2017-007270PRL","Project Light (PRL)","950 Cayuga Ave.","Closed","COMPLY WITH NOV 201781791 AND REMOVE STRUCTURE AT REAR OF PROPERTY. STORAGE.",,
"06/09/2017","2017-007271MIS","Misc. Permits-REF (MIS)","3695 Jackson Street - Verizon Wireless ROW WTS Facility","Pending Review","Verizon Wireless ROW WTS Facility: Installation and operation of wireless equipment and antennas for Verizon Wireless on Existing SFPUC Steel Light Pole.",,
"06/09/2017","2017-007273GEN","Generic (GEN)","2013.1382E - 2465 Van Ness","Under Review","Record Request",,
"06/09/2017","2017-007274PRJ","Project Profile (PRJ)","1442 JEFFERSON ST","Application Accepted","VERTICAL EXTENSION, EXTERIOR 4TH FLOOR TO REAR OF BLDG, UPPER UNIT. INTERNAL STAIRCASE TO NEW BEDROOM, BATHROOM SUITE. NEW EXTERIOR STEEL SPIRAL STAIRCASE TO ROOF DECK ABOVE NEW ADDITION. NEW WINDOWS ON NORTH ELEVATION, NEW STRUCTURAL ENGINEERING WORK VERTICAL EXTENSION, E",,
"06/09/2017","2017-007275COA","Certificate of Appropriateness (COA)","2055 UNION ST","Pending Review","Install (1) illuminated wall sign and (2) illuminated interior window signs for ""Illy Café"".",,
"06/09/2017","2017-007275PRJ","Project Profile (PRJ)","2055 UNION ST","Application Accepted","TO ERECT ELECTRIC, SINGLE FACED, WINDOW SIGN. N/A FOR MAHER ORDINANCE.",,
"06/09/2017","2017-007277PRL","Project Light (PRL)","1535 12TH AVE","Closed","Interior revision to Addendum app#201510149598 No change to exterior. Add (N) playroom on 1st Floor, Add (N) Bedroom & (N) 1/2 bath, relocate kitchen on 2nd floor. Add (N) bath on 4th floor, relocate bar and guest bedroom.",,
"06/09/2017","2017-007278PRJ","Project Profile (PRJ)","25 BROADWAY","Closed","INSTALL 2 NON-ILLUMINATED WALL MAP SIGNS",,
"06/09/2017","2017-007279PRJ","Project Profile (PRJ)","20 ELSIE ST","Application Accepted","250 SQ FT GROUND FL ADDITION @ REAR OF BLDG. 120 SQ FT 2ND FL ADDITION W/ DECK & 1 325 SQ FT ROOF DECK. INCLUDES KITCHEN REMODEL & (N) BATHROOM @ 1ST FL",,
"06/09/2017","2017-007280PRJ","Project Profile (PRJ)","282 URBANO DR","Closed",,,
"06/09/2017","2017-007281PRL","Project Light (PRL)","3506 16th St.","Closed","Change of use from retail to personal service (per Planning Code790.116).Admin  only. No work to be performed. No neighborhood notice required. Not identified as a formula retail business. No BBN or Planning Code complaints.",,
"06/09/2017","2017-007282PRJ","Project Profile (PRJ)","647 MASONIC AVE","Application Accepted","ADDITION OF DWELLING UNIT PER ORD #162-16. ADD UNIT ON 1ST FL, ADD (2) EACH BEDROOMS, (1) EACH BATHROOM, (1) EACH LIVING ROOM, (1) EACH KITCHEN.",,
"06/09/2017","2017-007283PRJ","Project Profile (PRJ)","331 PARIS ST","Application Accepted","CONVERT THE (E) BEDROOM IN A NEW GARAGE ON THE FRONT OF THE 1ST FLOOR AND ADD ONE BEDROOM ON THE TOP OF THE NEW GARAGE, ONE NEW STAIR CONNECTING THE NEW BEDROOM WITH THE (E) HOUSE.",,
"06/09/2017","2017-007284PRJ","Project Profile (PRJ)","714 DUNCAN ST","Application Accepted",,,
"06/09/2017","2017-007285PRJ","Project Profile (PRJ)","299 EDGEWOOD AVE","Application Accepted","REMODEL (E) ATTIC F MAIN HOUSE, RAISE FLOOR + CEILING HEIGHT & ADDITION OF NEW ROOF WITH ONE ADDITIONAL BATH, BEDROOM,CLOSET, SITTING ROOM, 2 NEW BALCONIES.",,
"06/09/2017","2017-007286PRL","Project Light (PRL)","190 ONONDAGA AVE","Closed","New deck at rear of structure, not to exceed 10' in height, within buildable area, 311 does not apply",,
"06/09/2017","2017-007288PRL","Project Light (PRL)","1315 WALLER ST","Closed","Approved BPA for interior tenant improvements, rooms down OK; (N) deck at second floor within buildable envelope; in kind replacement of front garage door, in kind replacement of street-facing window at 4th floor.",,
"06/09/2017","2017-007289PRL","Project Light (PRL)","202 Lily Street","Closed","Removing horizontal addition constructed at ground floor of building without permit to comply with DBI NOV #201769719. No removal of dwelling unit.",,
"06/09/2017","2017-007290PRL","Project Light (PRL)","2574 Broadway","Closed","Replace all floor finishes at front patio in kind - waterproof exposed concrete, approx 600 sq ft. (opened up under prior pa# 201701197481)",,
"06/09/2017","2017-007291PRL","Project Light (PRL)","720 Sanchez","Closed","Remove front iron gate, replace with double doors in existing opening.",,
"06/09/2017","2017-007294ENF","Enforcement (ENF)","4990 Mission Street","Under Review","unpermitted grow house in residential unit",,
"06/09/2017","2017-007295PRL","Project Light (PRL)","2238 HYDE ST","Closed","WEST FACADE WINDOW REPLACEMENT ON FLOORS 3-15. NO CHANGE TO WINDOW SIZE OR OPERATION. ALUMINUM TO ALUMINUM PER PLANS.",,
"06/09/2017","2017-007296PRL","Project Light (PRL)","301 Columbus Ave","Closed","install a new canvas awning over hotel's entrance door per plan.",,
"06/09/2017","2017-007297PRL","Project Light (PRL)","301 Columbus Ave","Closed","Hand paint lettering on new awning.",,
"06/09/2017","2017-007299PRL","Project Light (PRL)","229 Elsie","Closed","Repair roof, all other work under permit no. 201701237717. No change to roof shape, slope, dimension, materials.",,
"06/09/2017","2017-007406GEN","Generic (GEN)","Jeff Joslin","Pending Review","Public Record Request - Jeff Joslin",,
"06/09/2017","2017-007456GEN","Generic (GEN)","60 Russell St","Pending Review","Public Record Request - 60 Russell St",,
"06/08/2017","2006.1308MCM","Monitoring Conditions and Mitigation Measures (MCM)","VISITACION VALLEY REDEV. AREA","Monitoring Compliance","Proposed redevelopment area encompassing Schlage Lock site and adjacent parcels along Bayshore Blvd. and Leland Avenue.","Proposed redevelopment area encompassing Schlage Lock site and adjacen",
"06/08/2017","2017-006827PTA","Permit to Alter Major/Minor (PTA)","430 BUSH ST","Pending Review","Install (2) sets of non-illuminated letters, (1) one non-illuminated logo.",,
"06/08/2017","2017-007057ENV","Environmental (ENV)","937-941 Geary Street","Open","New 5-story, 55 room visitor serving hotel to replace an existing 1-story garage and commercial brick structure. The hotel will be a limited service hotel with a lower level breakfast room and an outdoor roof deck.",,
"06/08/2017","2017-007057PRJ","Project Profile (PRJ)","937-941 Geary Street","Open","New 5-story, 55 room visitor serving hotel to replace an existing 1-story garage and commercial brick structure. The hotel will be a limited service hotel with a lower level breakfast room and an outdoor roof deck.",,
"06/08/2017","2017-007121PRJ","Project Profile (PRJ)","22 Hawthorne Street - AT&T Mobility ROW WTS Facility","Open","AT&T Mobility ROW WTS Facility: Installation and operation of wireless equipment and antennas for AT&T Mobility on Existing SFPUC Steel Light Pole.",,
"06/08/2017","2017-007121PTA","Permit to Alter Major/Minor (PTA)","22 Hawthorne Street - AT&T Mobility ROW WTS Facility","Approved","AT&T Mobility ROW WTS Facility: Installation and operation of wireless equipment and antennas for AT&T Mobility on Existing SFPUC Steel Light Pole.",,
"06/08/2017","2017-007151PRL","Project Light (PRL)","657 LOS PALMOS DR","Closed","replace 3 visible vinyl windows with aluminum-clad wood windows (full divided lite) with same mullion pattern",,
"06/08/2017","2017-007152PRL","Project Light (PRL)","1558 34TH AVE","Closed","Replace 6 vinyl windows at front. New windows to be Marvin Wood Clad. No change in size,location, or operation.",,
"06/08/2017","2017-007153PRL","Project Light (PRL)","806 JUNIPERO SERRA BLVD","Closed","New deck at rear less than 3' high from grade. No other work.",,
"06/08/2017","2017-007155ENF","Enforcement (ENF)","35 El Plazuela Way","Under Review","illegal short-term rental on Airbnb - https://www.airbnb.com/rooms/8384230",,
"06/08/2017","2017-007156PRL","Project Light (PRL)","1926 BALBOA ST","Closed","Repair stucco in-kind visible from street. No other work.",,
"06/08/2017","2017-007157PRL","Project Light (PRL)","5870 MISSION ST","Closed","voluntary removal ofvGA siugn with property owner authorization",,
"06/08/2017","2017-007158PRJ","Project Profile (PRJ)","117 COLLEGE AVE","Application Accepted","Variance request from the rear and side yard requirements to permit the addition of new habitable living space and a new deck at the rear of an existing SFH.",,
"06/08/2017","2017-007158VAR","Variance (VAR)","117 COLLEGE AVE","Pending Review","Variance request from the rear and side yard requirements to permit the addition of new habitable living space and a new deck at the rear of an existing SFH.",,
"06/08/2017","2017-007160PRL","Project Light (PRL)","706 28th Avenue - T-Mobile Temp WTS Facility","Under Review","T-MOBILE IS PROPOSING TO INSTALL A TEMPORARy WIRELESS FACILITY BETWEEN AUG 1ST THRU OCT 9TH; TEMP WIRELESS FACILITY INCLUDES NEW I ' MICROWAVE DISH ON NEW TRIPOD; INSTALL (2) NEW COAX; 2 NEW DRAGON",,
"06/08/2017","2017-007161PRL","Project Light (PRL)","609 ELIZABETH ST","Closed","rooms down - full bathroom (limited visual and indirect access); change upper windows on rear elevations to two Juliets; addt. interior habitable space included with companion permit (550 sf total)",,
"06/08/2017","2017-007162PRJ","Project Profile (PRJ)","1527 20TH AVE","Application Accepted","VERTICAL & HORIZONTAL ADDITION. BASEMENT: (2) STORAGE & (1) MUDROOM. 1ST FLR: (1) STORAGE, (1) ENTERTAINMENT, GYM & GARAGE. 2ND FLR: LIVING RM, KITCHEN, DINING, OFFICE, POWDER, BATHRM, BEDRM, MASTER BED/BATHRM. 3RD FLR: LVNG RM, KITCHEN, DINING, OFFICE, POWDER, BATHRM, BDRM, MASTER BDRM/BATH.",,
"06/08/2017","2017-007163PRL","Project Light (PRL)","1108 DIAMOND ST","Closed","Rooms down single family dwelling having indirect access to the street with limited visual connection btw floors – full bath is permitted – wet bars are not allowed or proposed in this case – please note in this case this project does not eliminate any dwelling  units of any type. Child care impact fee is required in this case – adding more than 800 square feet of new habitable area.Façade changes at the front as shown on plans - Slight expansion to the existing building as shown on plans – please note in this case notice is not required in that it meets ZA bulletin no 4 “FILL-INS” 4/1996: The filling in of the open area under a cantilevered room or room built on columns is exempt only if the height of the open area under the room does not exceed one story or 12 feet. The exemption does not apply to space immediately under a deck nor to space under a room known to be illegal. Per planning code interp section 134. Code Section: 134Subject: Fill-ins under nonconforming projections Effective Date: 6/90 Interpretation:  It is an established policy to allow the enclosure of the void under a legal nonconforming enclosed projection extending into the required rear yard. Noting that a fence could not exceed a height of 10 feet, this policy could not be applied to a situation where the void extends higher than the equivalent of one story. Such void could not be enclosed without a variance.No BBNs or planning complaints.",,
"06/08/2017","2017-007164PRL","Project Light (PRL)","1400 39th Ave","Closed","Replacement of all 28 exterior windows. Existing aluminum sliders to be replaced with Pella Impervia brand fiberglass windows. To comply with NOV #201759181 Item 3.",,
"06/08/2017","2017-007165PRJ","Project Profile (PRJ)","2426 PINE ST","Application Accepted","NEW 130 SQ.FT. DORMER TO ENLARGE 3RD FLOOR EXERCISE ROOM & PROVIDE NEW STORAGE CLOSET FOR ROOF DECK. NEW 545 SQ.FT. ROOF DECK.",,
"06/08/2017","2017-007166PRL","Project Light (PRL)","1844 Irving Street - T-Mobile Macro WTS Facility Modification","Under Review","MODIFY EXISTING T-MOBILE WTS FACILITY CONSISTING OF: REMOVE/REPLACE (3) EXISTING ANTENNAS W/(3) NEW ANTENNAS, (3) EXISTING TO REMAIN. TOTAL OF (6) ANTENNAS. REMOVE/REPLACE (3) TMA'S, INSTALL (3) RRUS, AND REMOVE/REPLACE (1) EXISTING EQUIPMENT CABINET.",,
"06/08/2017","2017-007167MIS","Misc. Permits-REF (MIS)","543 - 2nd Street - Zaza Nail Spa","Closed - Approved","BofS/PCN - Type 42: Recommended approval for continuation of existing license/site use, allowed per PC 842.45, outdoor activity area allowed per PC 842.13.",,
"06/08/2017","2017-007169MIS","Misc. Permits-REF (MIS)","3066 - 24th Street - Big Rec Tap Room","Pending Review","ABC - Type 41",,
"06/08/2017","2017-007170PRJ","Project Profile (PRJ)","3848 SACRAMENTO ST","Application Accepted","ADU (UNIT #10) WITH FOYER, KITCHEN, LIVING ROOM, ONE BDRM & ONE FULL BATHRM ON BASEMENT PER PLANS.",,
"06/08/2017","2017-007171PRL","Project Light (PRL)","3435 Lincoln Way","Closed","Replace four windows at front with aluminum wood clad windows and four windows at rear (non-facing) with paintable wood composite windows. All window replacements will match in location, style, size, and operation.",,
"06/08/2017","2017-007172PRL","Project Light (PRL)","1126 FILBERT ST","Closed","Replace wood sashes for wood sashes 6 pairs of French casements. 4 single casements and three transom sashes – Lite divisions same as existing  wood for wood into existing frames. No BBNs or planning code complaints - please see attached photos for window shown as existing.",,
"06/08/2017","2017-007173PRL","Project Light (PRL)","423 27TH ST","Closed","Replace 4 sets of double hung sashes wood for wood into existing frames no changes in material or design new sashes will have OGEE LugsNo BBNs or planning code complaints.",,
"06/08/2017","2017-007174PRL","Project Light (PRL)","1830 SUTTER ST","Under Review","New non-illuminated dimensional letter signage on front façade of modern addition to historic resource.  10.75 sq. ft. total.  12’ off the ground.  Complies per Sec. 606.",,
"06/08/2017","2017-007175PRL","Project Light (PRL)","524 OCTAVIA ST","Closed","change of use from retail to personal services as identified in section - 790.116 - please note section 312 is not required in this case.No construction to the exterior per this application.Occupant is not identified as a formula retail use.No BBNs or planning code complaints.",,
"06/08/2017","2017-007176PRL","Project Light (PRL)","530 10TH ST","Closed","Minor demolition of existing partitions in preparation for tenant improvement.  Minor structural demo of new openings related to future stairs, railings, and mechanical shaft.  No new construction.  No alterations to facades or visible rooftop elements.  This approval does not constitute a change of use in any way.",,
"06/08/2017","2017-007177PRL","Project Light (PRL)","615 BAY SHORE BLVD","Closed","change of sign copy on existing free standing sign - please note it meets section 607 of the planning code (2)   Freestanding Signs. The maximum height for Freestanding Signs shall be as follows:         In C-2: 36 feet;         In all other C, M, and PDR Districts: 40 feet.No BBNs or planning code complaints.",,
"06/08/2017","2017-007178PRJ","Project Profile (PRJ)","1385 PINE ST","Application Accepted","TENANT IMPROVEMENT TO REPLACE (E) CAR GARAGES TOTAL OF (3) AND REPLACE WITH (N) RESIDENTIAL UNIT PER ORD 162-16. SOFT STORY RETROFIT PA #2014-0905-5589.",,
"06/08/2017","2017-007179GEN","Generic (GEN)","Parkmerced","Pending Review","Immediate Disclosure Request w/ extension - Parkmerced",,
"06/08/2017","2017-007180MIS","Misc. Permits-REF (MIS)","667 O'Farrell Street - T-Mobile ROW WTS Facility","Closed - Approved","T-Mobile ROW WTS Facility: Installation and operation of wireless equipment and antennas for T-Mobile on Existing SFPUC Steel Light Pole.",,
"06/08/2017","2017-007181PRJ","Project Profile (PRJ)","108 BOSWORTH ST","Application Accepted","REMODEL OF EXISTING SINGLE FAMILY HOME TO ACCOMMODATE AN ADDITIONAL UNIT ON GROUND FLOOR.",,
"06/08/2017","2017-007182PRJ","Project Profile (PRJ)","1859 JEFFERSON ST","Under Review","NEW 2ND FLOOR DECK AT REAR. ** MAHER: N/A **",,
"06/08/2017","2017-007183MIS","Misc. Permits-REF (MIS)","NE corner of Ingalls St & Hudson Ct. - T-Mobile ROW WTS Facility","Pending Review","T-Mobile ROW WTS Facility: Installation and operation of wireless equipment and antennas for T-Mobile on Existing SFPUC Steel Light Pole.",,
"06/08/2017","2017-007184PRJ","Project Profile (PRJ)","304 ORIZABA AVE","Application Accepted","LEGALIZE 2ND DWELLING UNIT ON GROUND FL OF (E) SINGLE FAMILY DWELLING UNIT PER UNIT LEGALIZATION ORDINANCE (ORD 43-14). 1ST FL: (4) BEDROOMS, (1) KITCHEN, (1) FAMILY ROOM, (1) POWDER ROOM, (4) FULL BATHROOMS",,
"06/08/2017","2017-007185PRJ","Project Profile (PRJ)","343 WEST PORTAL AVE","Application Accepted","TWO STORY HORIZONTAL REAR ADDITION W/ MEZZANINE: MEDICAL SERVICE & OFFICE ESTABLISH RETAIL USE ON 1ST FLR UNDER SEPARATE TI APPLICATION.",,
"06/08/2017","2017-007186PRL","Project Light (PRL)","666 10TH AVE","Closed","inkind replacement of all front and 3 rear wood windows",,
"06/08/2017","2017-007187PRJ","Project Profile (PRJ)","88 TOWNSEND ST","Application Accepted","REPAIRS TO FACADE AND CORNICE REPAIRS TO WINDOWS REPAIRS TO SIDEWALK REFER TO PLANS FOR DETAILS MAHER NA",,
"06/08/2017","2017-007190PRL","Project Light (PRL)","654 15TH AVE","Closed","replace aluminum replacement windows on the front facade with wood sash windows",,
"06/08/2017","2017-007191PRL","Project Light (PRL)","1327 07TH AVE","Closed","three new roof skylights - less than 12"" high",,
"06/08/2017","2017-007192ENV","Environmental (ENV)","SFMTA order 5777 for public hearing 6/16/2017","Closed - CEQA Clearance Issued","Categorical exemption for minor alterations to existing facilities, non-physical changes, and other minor changes. Authority delegated to designated SFMTA staff per SFMTA/Planning MOU.",,
"06/08/2017","2017-007192ETM","Environmental Time and Materials (ETM)","SFMTA order 5777 for public hearing 6/16/2017","Closed - CEQA Clearance Issued","Categorical exemption for minor alterations to existing facilities, non-physical changes, and other minor changes. Authority delegated to designated SFMTA staff per SFMTA/Planning MOU.",,
"06/08/2017","2017-007194ENF","Enforcement (ENF)","Illegal Short-Term Rentals at 3539-3541 Webster Street","Open","Illegal Short-Term Rentals at 3539-3541 Webster Street, by property owner in one (1) dwelling unit: https://www.airbnb.com/rooms/13346701",,
"06/08/2017","2017-007195PRL","Project Light (PRL)","1965 - 20th Avenue","Closed","REVISION TO PA 2006-0717-6794 - ADD NEW CLOSET WITHIN (E) STUDY ROOM @ 2ND FLOOR; ADD WALL TO CREATE STORAGE ROOM AT GROUND FLOOR; ADD HALLWAY @ GROUND FLOOR",,
"06/08/2017","2017-007196PRL","Project Light (PRL)","1857 24TH AVE","Closed","Replace stairs in rear, materials in-kind. Dimensions to be smaller than existing, no notice required. Entirely within buildable area.",,
"06/08/2017","2017-007197PRL","Project Light (PRL)","2031 CHESTNUT ST","Closed","1 wall and 1 blade sign for Asian Box restaurant",,
"06/08/2017","2017-007198ENV","Environmental (ENV)","SFMTA ISCOTT 1410th meeting on 6/8/2017","Closed - CEQA Clearance Issued","Categorical exemption for minor alterations to existing facilities, non-physical changes, and other minor changes. Authority delegated to designated SFMTA staff per SFMTA/Planning MOU.",,
"06/08/2017","2017-007198ETM","Environmental Time and Materials (ETM)","SFMTA ISCOTT 1410th meeting on 6/8/2017","Closed - CEQA Clearance Issued","Categorical exemption for minor alterations to existing facilities, non-physical changes, and other minor changes. Authority delegated to designated SFMTA staff per SFMTA/Planning MOU.",,
"06/08/2017","2017-007201PRJ","Project Profile (PRJ)","1641 GROVE ST","Application Accepted","HORIZONTAL ADDITION OF ALL 3 FLOORS. ADDITION OF 2 CAR GARAGE. RESTORE FRONT FACADE & REPLACE WOOD WINDOWS IN KIND. REPLACE ENTRY STAIR. NEW DRIVEWAY & FRONT YARD PLANTING. TOTAL ADDITION OF 1 BATHROOM & 5 BEDROOMS.",,
"06/08/2017","2017-007202PRJ","Project Profile (PRJ)","3526 FULTON ST","Under Review","BUILD A DECK SMALLER THAN THE ADJACENT 2 DECKS.",,
"06/08/2017","2017-007203PRJ","Project Profile (PRJ)","639 02ND AVE","Application Accepted","COMPLY WITH COMPLAINT#201635092 & 201652142. LEGALIZE DWELLING UNIT AT GROUND FLOOR. PER PLAN PER ORDINANCE 43-14.",,
"06/08/2017","2017-007204PRJ","Project Profile (PRJ)","2214 36TH AVE","Application Accepted","PER UNIT LEGALIZATION ORDINANCE 43-14. AT 1/F THE (E) BED RM, BATH RM. LAUNDRY AREA AND STORAGE RM @ 1/F COMPLED UNDER APN#9821717 & #9902527.UNDER THE PERMIT: CHANGE STORAGE RM TO A KITCHEN ARE @ 1/F.",,
"06/08/2017","2017-007205PRJ","Project Profile (PRJ)","201 ANDERSON ST","Application Accepted","LEGALIZE (E) GROUND FLOOR HABITABLE SPACE. REFER TO PA #2017-0420-4447.",,
"06/08/2017","2017-007207PRL","Project Light (PRL)","221 25TH AVE","Closed","interior demo less than 75%; replace 4 front windows with aluminum-clad wood DH windows",,
"06/08/2017","2017-007208PRJ","Project Profile (PRJ)","41 CRESCENT AVE","Application Accepted","VIOLATION CORRECTION #201612911. LEGALIZATION OF REAR STAIRS & DECK. VARIANCE FOR REAR YARD ENCROACHMENT FOR REAR STAIRS & DECK.",,
"06/08/2017","2017-007209PRL","Project Light (PRL)","24 Costa Street","Closed","The proposed scope of work is a new retaining wall located on the side property line.  This is for shoring up purposes on the uphill side.",,
"06/08/2017","2017-007210PRJ","Project Profile (PRJ)","108 MONTEREY BLVD, UNIT 1","Application Accepted","UNIT #1. PER COMPLAINT #201609831. UNIT LEGALIZE ORDINANCE 43-14. 2 BEDROOM, 1 BATH, 1 KITCHEN. 624 SF ON THE 1ST FL. NO NOV, COMPLAINT ONLY.",,
